epoch,loss,val_loss
0,0.011291846632957458,0.011707247234880924
1,0.009280975908041,0.008919366635382175
2,0.008996275253593922,0.008824524469673634
3,0.007623340934514999,0.010003214702010155
4,0.006137637421488762,0.008489168249070644
5,0.005943365395069122,0.006979066878557205
6,0.00629471568390727,0.011997129768133163
7,0.007724215276539326,0.008670245297253132
8,0.004670170601457357,0.009487654082477093
9,0.0056371078826487064,0.008665449917316437
10,0.004840625450015068,0.007247030269354582
